engagement_id,email_campaign_id,visitor_id,event_type,event_ts,linked_ad_campaign_id
4f6a75d9-3bf5-4aa3-b6bc-dcde912874ef,EML-3002,VIS-5316df25bd,send,2026-07-04 08:24:39,CMP-1005
518b688d-7732-47f3-b9cf-ebc80ee6b81a,EML-3002,VIS-5316df25bd,open,2026-07-04 19:09:29,CMP-1005
bd3f3e37-bb3f-4de5-8db8-33f31064e660,EML-3003,VIS-9e0f05a21d,send,2026-07-04 20:19:53,
5cc150e0-59f3-4f10-b39a-2ee86adbebcb,EML-3002,VIS-e0f0cf3534,send,2026-07-04 23:15:05,CMP-1005
26cb6c8e-b351-4f6c-8bdb-62f39c17f365,EML-3007,VIS-8bf6a00106,send,2026-07-04 03:47:24,
7ed08cfc-5760-49bb-b14e-54ac2bcb9853,EML-3007,VIS-8bf6a00106,open,2026-07-04 14:37:12,
ff1767b7-491b-4908-a91a-6e47d24c912e,EML-3009,VIS-8f35104eef,send,2026-07-04 21:50:32,CMP-1032
4b0517ea-ae58-4fb1-879f-a6cb4ed81a0c,EML-3009,VIS-8f35104eef,open,2026-07-04 11:28:27,CMP-1032
a89bb1c0-a8f5-4d8e-8536-93161e8ff671,EML-3006,VIS-5d0ca35ddb,send,2026-07-04 15:00:46,CMP-1017
af71b5be-2703-4cce-ba10-ced6e9513ee0,EML-3006,VIS-8936faeae2,send,2026-07-04 22:09:05,CMP-1017
2d6ef608-5664-4105-8f88-fa85db5d484f,EML-3007,VIS-4fa2255ab6,send,2026-07-04 20:02:00,
db9ddf64-71c5-4743-8a65-eec7c28c565a,EML-3007,VIS-4fa2255ab6,open,2026-07-04 16:28:17,
46dd5e61-5775-4cb2-a2f9-68e189225fe3,EML-3001,VIS-7048ac6dcd,send,2026-07-04 10:21:27,
8c7be5ea-2356-4af2-a259-3abfb14ecc2a,EML-3005,VIS-341abfc1e5,send,2026-07-04 00:14:20,CMP-1063
a707159c-1a8c-4f90-920b-24e49675a9fd,EML-3005,VIS-341abfc1e5,open,2026-07-04 11:27:55,CMP-1063
4e7d1a5f-64f5-46bf-8c9d-78aff7f532ce,EML-3005,VIS-341abfc1e5,click,2026-07-04 10:02:50,CMP-1063
5f762c32-6c16-4faa-8ba2-08238dac5676,EML-3009,VIS-ff46156be5,send,2026-07-04 20:15:18,CMP-1032
90203a86-7161-42be-a664-79feaa345f72,EML-3002,VIS-2cbff88509,send,2026-07-04 01:22:26,CMP-1005
71ba40b6-8676-4adc-a3d0-2f34085180e3,EML-3002,VIS-2cbff88509,open,2026-07-04 09:38:52,CMP-1005
7361ffec-5523-4867-9dce-844d19c81e08,EML-3004,VIS-ac13a362b8,send,2026-07-04 09:19:46,CMP-1031
5579cdad-17f6-4e23-86ff-aafe950625da,EML-3004,VIS-ac13a362b8,open,2026-07-04 14:33:22,CMP-1031
8ad85747-1838-44f2-a9d7-aee6c4a3183b,EML-3002,VIS-3ce284b7d1,send,2026-07-04 11:49:18,CMP-1005
b5a6b411-ee61-4b32-aa1d-ed0c8da8faf9,EML-3002,VIS-3ce284b7d1,open,2026-07-04 20:58:47,CMP-1005
d6b8ea4a-1b0d-4084-8b46-5b112eb856cd,EML-3005,VIS-9f3e41ef29,send,2026-07-04 01:21:38,CMP-1063
0d420498-db76-4d34-a94f-271e33ada954,EML-3002,VIS-06d9ded43a,send,2026-07-04 02:02:09,CMP-1005
5f28176c-bdba-4b64-bc46-1f3b6e613538,EML-3002,VIS-06d9ded43a,open,2026-07-04 15:48:45,CMP-1005
eb6720cc-9068-41f2-a916-e12e08b95d04,EML-3004,VIS-1fe4e8046c,send,2026-07-04 23:46:01,CMP-1031
685fc6a8-c48b-4df0-be2b-5cbf969bfc18,EML-3007,VIS-5e6ce67b9a,send,2026-07-04 01:58:14,
d760cfb5-7b37-4744-b937-1c92f85f62dc,EML-3007,VIS-5e6ce67b9a,open,2026-07-04 19:39:29,
755ef2aa-55e0-4e6b-b37c-3cce705400cb,EML-3004,VIS-33a51d3164,send,2026-07-04 05:34:39,CMP-1031
3dde985a-f7b5-4650-bf97-4baf2232209f,EML-3007,VIS-ccaf5f93f4,send,2026-07-04 16:13:27,
d5bf517e-0e09-435f-a8b8-b50d961fb467,EML-3002,VIS-f25c50eca9,send,2026-07-04 08:05:09,CMP-1005
2f971893-82b3-4ebb-88bb-b2bd4c12754f,EML-3003,VIS-6919eefd6c,send,2026-07-04 04:48:46,
9565bfeb-1894-4877-b242-26b28a5dd0fb,EML-3001,VIS-8fd614646a,send,2026-07-04 19:57:27,
eb9755db-d154-4c9a-bde6-d0981a408d7c,EML-3001,VIS-8fd614646a,open,2026-07-04 18:16:14,
ff337b39-cd38-4342-8778-0a9d780dc443,EML-3003,VIS-7c565ad58c,send,2026-07-04 17:30:35,
6baf0f43-091d-46d6-91aa-d90070dad773,EML-3010,VIS-13401f51fe,send,2026-07-04 07:08:23,
9e629082-b360-4fc3-8c6a-765f40b9d7af,EML-3009,VIS-230ebac2e5,send,2026-07-04 08:57:55,CMP-1032
41cfbb18-068c-4d37-b99b-0720fdf95499,EML-3009,VIS-230ebac2e5,open,2026-07-04 15:39:29,CMP-1032
605d77dd-ddb2-4e5e-b437-331ab29a3cb7,EML-3002,VIS-dedfc488bd,send,2026-07-04 04:05:49,CMP-1005
